epoch,loss,accuracy,best
0,2.9781360626220703,0.2291666716337204,0
1,2.2910547256469727,0.28854167461395264,0
2,1.3882513046264648,0.4969791769981384,0
3,1.2523678541183472,0.5411978960037231,0
4,1.122827410697937,0.5748437643051147,0
5,1.013698935508728,0.60526043176651,0
6,1.0203777551651,0.6108333468437195,0
7,0.807645320892334,0.6501562595367432,0
8,0.793083667755127,0.6836979389190674,0
9,0.7186208367347717,0.67989581823349,0
10,0.6848788261413574,0.7054166793823242,0
11,0.6801134943962097,0.7074999809265137,0
12,0.7056601643562317,0.68338543176651,0
13,0.5651158690452576,0.7267187237739563,0
14,0.6047578454017639,0.6939583420753479,0
15,0.5696032047271729,0.7149999737739563,0
16,0.5893375277519226,0.7208333611488342,0
17,0.5292438864707947,0.7384374737739563,0
18,0.5235018134117126,0.7347916960716248,0
19,0.6103492975234985,0.691979169845581,0
20,0.6317796111106873,0.7141146063804626,0
21,0.5401478409767151,0.7092187404632568,0
22,0.5214839577674866,0.734947919845581,0
23,0.5208303928375244,0.7303645610809326,1
24,0.5275755524635315,0.71484375,0
25,0.5287153720855713,0.7208333611488342,0
26,0.6460826396942139,0.7213541865348816,0
27,0.5892553329467773,0.7339583039283752,0
28,0.5715448260307312,0.7110937237739563,0
